移送先ラベル名,セットする内容,移送元ファイル名,移送元項目番号,移送元項目名
DIDAT,現在日時(YYYYMMDDHHMMSS形式),,,
MIUID,ACU_SYS(固定値),,,
DUDAT,NULL,,,
MUUID,NULL,,,
BDVER,NULL,,,
DMSTO,NULL,,,
MMSOU,NULL,,,
DDPPY,NULL,,,
FJPUB,0(固定値),,,
DDDPY,NULL,,,
FJDEL,0(固定値),,,
LUPDT,NULL,,,
MGI01MDOCC,医師コード(02+03),DCF_KJN.txt,02+03,ファイルキー
MGI01NDOCN,医師名(漢字),DCF_KJN.txt,12,医師名(漢字)
MGI01KDOCN,医師名(カナ),DCF_KJN.txt,13,医師名(カナ)
MGI01CSEXC,性別コード,DCF_KJN.txt,14,性別
MGI01MPREF,都道府県コード,DCF_KJN.txt,15,都道府県
MGI01YGRAD,卒業年,DCF_KJN.txt,16,卒業年
MGI01MGRAD,卒業月,DCF_KJN.txt,17,卒業月
MGI01MSCHL,出身校コード,DCF_KJN.txt,18,出身校コード
MGI01MFCLT,学部コード,DCF_KJN.txt,19,学部コード
MGI01MMJOR,専攻コード,DCF_KJN.txt,20,専攻コード
MGI01CDEGR,学位コード,DCF_KJN.txt,21,学位コード
MGI01MPUNI,大学所在都道府県,DCF_KJN.txt,22,大学所在都道府県
MGI01MUNI,大学コード,DCF_KJN.txt,23,大学コード
