"DIDAT","MIUID","DUDAT","MUUID","BDVER","DMSTO","MMSQU","DDPPY","FJPUB","DDDPY","FJDEL","LUPDT","ASEQN","MGI13MSZKC","MGI13MSZKK","MGI13KSZKK","MGI13JSZKK","MGI13ESZKK"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","輸","輸血科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","化療","化学療法科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","感染内","感染症内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","化療内","化学療法内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","乳内","乳腺内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","がん内","がん内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","頭頸内","頭頸部内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","頸内","頸部内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","内分内","内分泌内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","糖尿","糖尿病科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","膠原","膠原病科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","甲","甲状腺科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","免内","免疫内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","肝内","肝臓内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","アレ","アレルギー科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","糖尿内","糖尿病内科","NULL"
